Order Number,Date,last_name,first_name,State,Area,Material,Tax,CPSF,LCPSF,MaterialCost,LaborCost,TotalCost
37282,01/07/2002,Westcar,Biddie,AZ,634,Tile,5.155,1.75,2.1,1109.5,1331.4,2566.728395
27588,09/11/2012,Sherrin,Briney,TN,332,Wood,6.1625,5.15,4.75,1709.8,1577,3489.34905
57220,10/23/2008,Aylott,Hurleigh,TN,897,Laminate,5.4537,3.5,4.15,3139.5,3722.55,7236.285621
16375,12/12/2002,Hazeman,Ottilie,MN,582,Carpet,5.3761,2.25,2.1,1309.5,1222.2,2667.806724
44337,03/04/2010,Roback,Fowler,DC,348,Laminate,5.4102,3.5,4.15,1218,1444.2,2806.230344
80395,11/03/2013,Renon,Dodi,CA,663,Laminate,6.3492,3.5,4.15,2320.5,2751.45,5393.978249
62364,10/22/2009,Church,Gifford,PA,291,Carpet,5.2985,2.25,2.1,654.75,611.1,1332.921062
62052,04/15/2003,Baert,Thayne,WA,680,Carpet,5.4208,2.25,2.1,1530,1428,3118.347264
48051,06/01/2012,Suttill,Marga,MA,455,Wood,5.3344,5.15,4.75,2343.25,2161.25,4744.788048
39568,07/13/2013,Ashmore,Janenna,CA,224,Wood,6.6833,5.15,4.75,1153.6,1064,2365.808861
16826,05/08/2011,Carbert,Estevan,MN,924,Wood,6.0626,5.15,4.75,4758.6,4389,9702.182398
28633,06/01/2012,MacNally,Tome,NY,343,Tile,5.8712,1.75,2.1,600.25,720.3,1398.082132
69743,07/15/2010,Hurtic,Esra,TX,337,Wood,5.6404,5.15,4.75,1735.55,1600.75,3524.480665
55041,07/15/2007,Zimmer,Giselle,DC,355,Laminate,6.4591,3.5,4.15,1242.5,1473.25,2891.163008
65118,12/01/1997,Dunniom,Janith,OH,634,Laminate,6.9293,3.5,4.15,2219,2631.1,5186.177979
43406,10/28/2015,Koopman,Jourdan,CA,439,Laminate,6.0598,3.5,4.15,1536.5,1821.85,3561.859293
20876,10/07/2001,Seres,Eran,SC,362,Tile,5.2862,1.75,2.1,633.5,760.2,1467.373769
45773,05/13/2016,Orange,Erhart,MN,683,Tile,6.9587,1.75,2.1,1195.25,1434.3,2812.532496
75577,04/28/2013,Plante,Kissee,TX,887,Wood,6.4213,5.15,4.75,4568.05,4213.25,9345.173617
56405,08/04/1995,Bevis,Daffi,TX,616,Laminate,6.4549,3.5,4.15,2156,2556.4,5016.580708
55611,06/24/2012,Castelijn,Em,CA,878,Wood,5.1375,5.15,4.75,4521.7,4170.5,9138.761775
32606,11/16/2010,Emeney,Dorey,DC,501,Wood,6.7374,5.15,4.75,2580.15,2379.75,5294.068303
44592,12/27/2011,Cecchi,Marietta,FL,716,Wood,6.2971,5.15,4.75,3687.4,3401,7534.763636
89012,12/15/1999,Worsley,Micaela,OH,693,Laminate,6.8427,3.5,4.15,2425.5,2875.95,5664.212319
42650,11/14/2006,Shillaber,Philbert,TN,560,Tile,6.9121,1.75,2.1,980,1176,2305.024876
82695,07/29/2011,Warin,Guilbert,TX,149,Tile,5.8514,1.75,2.1,260.75,312.9,607.2165561
17263,03/15/2016,Radage,Sher,CA,126,Tile,6.8596,1.75,2.1,220.5,264.6,518.3759196
78203,06/26/2002,Bruna,Deonne,CA,439,Wood,6.5545,5.15,4.75,2260.85,2085.25,4630.965125
28670,08/22/2014,Haig,Agnesse,NC,746,Tile,6.4596,1.75,2.1,1305.5,1566.6,3057.626172
63093,03/01/2013,Dubber,Orren,NC,584,Laminate,5.4713,3.5,4.15,2044,2423.6,4712.035799
73037,12/21/2001,Loveless,Drew,VA,580,Carpet,6.9433,2.25,2.1,1305,1218,2698.179459
38249,04/24/2010,Rate,Cedric,LA,774,Wood,5.3103,5.15,4.75,3986.1,3676.5,8069.507048
59847,02/13/2008,Brunet,Ansell,VA,102,Tile,5.1718,1.75,2.1,178.5,214.2,413.0096586
21565,03/09/2008,Mardee,Patsy,UT,472,Tile,6.0704,1.75,2.1,826,991.2,1927.511309
42766,06/18/2013,Jenney,Caryn,AZ,961,Tile,5.5254,1.75,2.1,1681.75,2018.1,3904.281512
34698,01/11/2016,Kelland,Bendite,NC,500,Carpet,5.3929,2.25,2.1,1125,1050,2292.295575
85653,11/23/1997,Schutt,Bayard,CA,595,Wood,6.9021,5.15,4.75,3064.25,2826.25,6297.068201
73487,09/06/2014,Marcam,Emmalyn,VA,487,Tile,6.6318,1.75,2.1,852.25,1022.7,1999.292934
28629,09/07/2000,Joincey,Renee,DC,525,Laminate,5.9003,3.5,4.15,1837.5,2178.75,4253.220799
23574,07/09/1995,Springtorp,Verene,CA,299,Tile,5.6971,1.75,2.1,523.25,627.9,1216.732167
36145,05/31/2015,McGing,Evangelia,OH,100,Tile,6.5696,1.75,2.1,175,210,410.29296
53363,12/14/2001,Bentick,Bryana,KS,531,Laminate,5.7175,3.5,4.15,1858.5,2203.65,4294.403426
56920,11/22/2000,Crapper,Valina,FL,332,Tile,5.831,1.75,2.1,581,697.2,1352.731842
20225,08/23/2009,Rubbens,Chicky,TX,647,Laminate,6.613,3.5,4.15,2264.5,2685.05,5276.863742
56294,05/09/2001,Tolotti,Kenton,TN,831,Tile,5.2486,1.75,2.1,1454.25,1745.1,3367.271084
12964,01/05/1997,Scott,Frankie,NE,324,Wood,6.9881,5.15,4.75,1668.6,1539,3431.750296
34817,02/11/1999,Fine,Gaby,CO,445,Carpet,5.2562,2.25,2.1,1001.25,934.5,2037.496892
60837,11/19/1996,Waddicor,Colin,NY,763,Carpet,5.7022,2.25,2.1,1716.75,1602.3,3508.308869
85512,10/26/2006,Juschke,Bamby,CA,311,Wood,6.2469,5.15,4.75,1601.65,1477.25,3271.235804
35342,07/06/2008,Renol,Jacob,FL,413,Laminate,6.7234,3.5,4.15,1445.5,1713.95,3371.872461
31946,02/23/2012,Donnelly,Christiano,FL,988,Carpet,6.1948,2.25,2.1,2223,2074.8,4564.040114
26404,10/28/2004,Pellew,Rainer,AL,654,Carpet,5.9391,2.25,2.1,1471.5,1373.4,3013.861456
69550,08/18/2015,Negro,Christin,TN,445,Tile,6.3513,1.75,2.1,778.75,934.5,1822.063647
56573,10/11/2008,Denzilow,Antonie,NY,805,Tile,5.8123,1.75,2.1,1408.75,1690.5,3279.387708
17785,07/14/2010,Kilpatrick,Hannah,VA,269,Tile,5.7181,1.75,2.1,470.75,564.9,1094.869503
50265,01/29/2009,Langfitt,Elizabet,MI,367,Tile,5.2197,1.75,2.1,642.25,770.7,1486.701751
49669,01/12/2013,Thring,Jecho,VA,433,Carpet,6.2398,2.25,2.1,974.25,909.3,2001.079753
46257,04/26/2009,Melville,Allis,IN,626,Wood,6.9587,5.15,4.75,3223.9,2973.5,6628.658474
24973,10/07/2013,Bernardoni,Forest,DC,709,Laminate,6.7903,3.5,4.15,2481.5,2942.35,5792.145687
23809,01/11/2001,Girkins,Maud,TX,234,Laminate,5.9887,3.5,4.15,819,971.1,1897.303719
24089,10/06/2004,Brilon,Ely,VA,264,Wood,5.0551,5.15,4.75,1359.6,1254,2745.720094
36570,02/17/2001,Itscovitz,Arlen,VA,288,Tile,6.6677,1.75,2.1,504,604.8,1182.731458
30443,03/07/1995,Dunnaway,Florie,CA,834,Carpet,5.0408,2.25,2.1,1876.5,1751.4,3810.775183
38442,12/20/2005,Cornelleau,Clare,NC,776,Laminate,6.4398,3.5,4.15,2716,3220.4,6318.692287
82304,04/23/2000,Stallworthy,Goraud,IL,258,Tile,5.9999,1.75,2.1,451.5,541.8,1052.897007
31457,06/11/1999,Giral,Sondra,LA,234,Laminate,5.8295,3.5,4.15,819,971.1,1894.45388
72819,07/04/2013,Upcott,Ethelred,MA,278,Wood,5.0195,5.15,4.75,1431.7,1320.5,2890.346679
56813,12/08/2011,Drakeley,Lynsey,NC,413,Wood,6.0862,5.15,4.75,2126.95,1961.75,4337.546459
42359,06/01/2002,Larive,Biron,TX,735,Laminate,5.8718,3.5,4.15,2572.5,3050.25,5952.906635
26731,08/10/2005,Mumbey,Barnebas,GA,214,Wood,5.9798,5.15,4.75,1102.1,1016.5,2245.288043
77118,01/21/2000,Grouen,Mozes,AZ,736,Wood,5.7975,5.15,4.75,3790.4,3496,7708.82904
35420,06/15/2006,Hatry,Belita,AL,879,Wood,6.4717,5.15,4.75,4526.85,4175.25,9265.273806
64996,11/27/2010,Molyneaux,Bram,CA,261,Laminate,6.8115,3.5,4.15,913.5,1083.15,2132.651815
47404,12/14/2012,Parfrey,Josee,PA,892,Tile,5.0102,1.75,2.1,1561,1873.2,3606.260288
64320,12/16/2007,Penelli,Guillermo,WI,980,Carpet,5.2418,2.25,2.1,2205,2058,4486.457934
58182,04/27/2004,Grist,Kitty,FL,432,Tile,6.1369,1.75,2.1,756,907.2,1765.268921
16471,08/23/2013,Plessing,Alexander,NC,426,Wood,5.1318,5.15,4.75,2193.9,2023.5,4433.828533
52012,03/10/1996,Mabon,Jaymie,KS,331,Wood,5.996,5.15,4.75,1704.65,1572.25,3473.382924
15586,08/27/2004,McNalley,Bradley,CA,822,Wood,5.2313,5.15,4.75,4233.3,3904.5,8563.512731
74907,02/07/1998,Putterill,Perceval,TX,249,Carpet,6.5482,2.25,2.1,560.25,522.9,1154.076828
74902,12/13/2012,Downage,Maighdiln,AL,617,Carpet,6.9543,2.25,2.1,1388.25,1295.7,2870.599935
58106,08/31/2012,Godfroy,Gus,LA,172,Wood,6.838,5.15,4.75,885.8,817,1819.237464
33705,03/26/1999,Hackforth,Keane,PA,229,Carpet,6.4437,2.25,2.1,515.25,480.9,1060.338918
36480,07/28/2017,Moscrop,Willyt,MI,585,Wood,5.369,5.15,4.75,3012.75,2778.75,6102.445635
21238,10/05/2008,Binding,Vicky,TX,200,Laminate,6.9568,3.5,4.15,700,830,1636.43904
16183,05/17/2008,Blundel,Mandi,CA,970,Laminate,5.0403,3.5,4.15,3395,4025.5,7794.515462
31435,03/05/2005,Aiton,Emile,IN,711,Tile,5.1576,1.75,2.1,1244.25,1493.1,2878.531564
25458,06/06/2012,Skegg,Raynard,SC,936,Wood,6.2913,5.15,4.75,4820.4,4446,9849.377023
21224,04/08/1997,Tallis,Dukie,TX,668,Carpet,5.4576,2.25,2.1,1503,1402.8,3064.386941
70440,11/29/2006,Cleare,Alanah,CA,772,Laminate,5.6914,3.5,4.15,2702,3203.8,6241.922701
26784,11/12/2004,Bolzmann,Modestia,OH,789,Tile,5.5176,1.75,2.1,1380.75,1656.9,3205.255376
20932,07/20/2000,Bruneton,Sindee,DC,238,Carpet,6.5602,2.25,2.1,535.5,499.8,1103.217751
50960,11/25/2010,Corneck,Berrie,VA,677,Carpet,6.9368,2.25,2.1,1523.25,1421.7,3149.235292
87795,07/24/2013,Nisot,Wesley,OH,452,Laminate,6.3257,3.5,4.15,1582,1875.8,3676.530055
78120,05/15/2011,Kevlin,Aubrie,AZ,611,Tile,5.5957,1.75,2.1,1069.25,1283.1,2483.980449
23355,01/29/1998,Sowle,Lazaro,MI,945,Tile,5.6818,1.75,2.1,1653.75,1984.5,3844.968089
80680,11/09/2009,O'Nowlan,Cilka,FL,467,Wood,6.8483,5.15,4.75,2405.05,2218.25,4939.917454
83214,01/03/2017,Gremain,Herrick,NM,380,Laminate,6.7962,3.5,4.15,1330,1577,3104.565534
43639,11/19/1998,Seadon,Teri,NY,354,Laminate,5.5593,3.5,4.15,1239,1469.1,2858.651403
38727,11/19/2015,Attarge,Broddy,AR,860,Wood,6.9765,5.15,4.75,4429,4085,9107.97921
11398,07/19/1995,Churchard,Jada,IL,635,Laminate,6.1437,3.5,4.15,2222.5,2635.25,5156.195587
79000,08/11/2005,Kalinowsky,Eadmund,OH,299,Carpet,6.5933,2.25,2.1,672.75,627.9,1386.405756
86229,07/16/1999,Van Halen,Rodolphe,MN,617,Tile,5.4465,1.75,2.1,1079.75,1295.7,2504.828884
87249,07/02/2015,Nesbitt,Gilberte,NJ,842,Tile,6.5332,1.75,2.1,1473.5,1768.2,3453.486744
39904,09/12/2001,Powdrill,Willi,KS,740,Tile,6.7259,1.75,2.1,1295,1554,3040.620891
51676,02/12/1995,Plaice,Matteo,NE,882,Laminate,6.4309,3.5,4.15,3087,3660.3,7181.212116
77573,04/28/1998,Bodimeade,Walden,AZ,443,Carpet,6.6801,2.25,2.1,996.75,930.3,2055.778867
34696,09/13/2011,Iashvili,Cherie,CA,124,Tile,6.5405,1.75,2.1,217,260.4,508.624347
25773,03/15/2000,Trevarthen,Vivyanne,NC,555,Carpet,5.9952,2.25,2.1,1248.75,1165.5,2558.989116
15927,06/25/1996,Paffett,Shelton,WV,583,Tile,6.5106,1.75,2.1,1020.25,1224.3,2390.683672
58571,07/20/2015,Fulham,Orrin,IN,781,Laminate,5.5684,3.5,4.15,2733.5,3241.15,6307.342411
51149,05/05/2015,Boden,Clark,NY,158,Tile,5.3567,1.75,2.1,276.5,331.8,640.8848061
16565,10/07/1996,Pembry,Steward,AL,450,Wood,6.572,5.15,4.75,2317.5,2137.5,4747.7826
59356,03/28/2015,Greville,Ebenezer,CO,576,Laminate,6.0248,3.5,4.15,2016,2390.4,4671.876787
12509,11/27/1996,Axten,Blithe,OR,293,Laminate,5.3066,3.5,4.15,1025.5,1215.95,2360.394786
48267,01/18/2004,Aicheson,Georgeanne,MN,568,Wood,5.6254,5.15,4.75,2925.2,2698,5939.527493
65100,11/03/2002,Winckle,Cissiee,NC,806,Carpet,6.7072,2.25,2.1,1813.5,1692.6,3741.261139
61203,03/30/2004,Greeve,Gabey,GA,570,Laminate,6.6857,3.5,4.15,1995,2365.5,4652.029949
72197,01/30/2011,McClinton,D'arcy,CA,977,Wood,6.0706,5.15,4.75,5031.55,4640.75,10259.46664
83698,02/18/2013,Manwell,Janeva,CA,693,Wood,5.6035,5.15,4.75,3568.95,3291.75,7245.139325
79721,05/10/1997,Abotson,Cyndy,ID,666,Laminate,6.3532,3.5,4.15,2331,2763.9,5418.589187
87480,03/26/1996,Measures,Gradeigh,PA,144,Carpet,5.9055,2.25,2.1,324,302.4,663.392052
16825,02/09/2010,Annand,Karoly,CO,668,Tile,6.3008,1.75,2.1,1169,1402.8,2733.843974
