OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
23172,"Anchor, Rose",Moor Village,11.32,Planar Mudtin Of Trolls,154.00,191.40,174.00,29475.6000,26796.0000,62641.54512000,10/29/1947 @ 12:00:00 AM
1573,"The Machine, Evilcoil",The Secret Shrine of the Gargoyle Count,19.77,Negative Mercury,277.00,4115.00,68.00,1139855.0000,18836.0000,1387764.21070000,10/29/1947 @ 12:00:00 AM
23671,"The Binder, Springpulley",The Lewd King,45.98,Shadowhell Mithril,148.00,462.21,420.19,68407.0800,62188.1200,190642.87296000,10/29/1947 @ 12:00:00 AM
22528,"God of Resurrection, Gadriel",Pewold Keep,29.00,Shadowhell Mithril,99.00,462.21,420.19,45758.7900,41598.8100,112691.30400000,10/29/1947 @ 12:00:00 AM
32599,"Goddess of Fate, Azah",North Arcanist's Farthing,3.66,Unspeakable Rotsoul Mithril Of Souls,143.00,370.26,336.60,52947.1800,48133.8000,104780.54386800,10/29/1947 @ 12:00:00 AM
6026,"Goddess of Trickery, Alik",Pawic Keep,31.90,Mind Lead,321.00,219.09,199.17,70327.8900,63933.5700,177090.86574000,10/29/1947 @ 12:00:00 AM
6212,"God of Luck, Ariel",North Grove Ward,41.80,Dragons' Poison Glitterflesh Steel Of The North,318.00,742.00,75.00,235956.0000,23850.0000,368404.90800000,10/29/1947 @ 12:00:00 AM
6340,"Mistseeker, Grave",The Shadow Downs,34.00,Fleshshock Mercury,177.00,-31.02,-28.20,-5490.5400,-4991.4000,-14045.79960000,10/29/1947 @ 12:00:00 AM
6475,"Godseeker, Cult",The Drunken Thief,18.41,Nymphs' Luminous Rotmercury Of The Skies,219.00,335.50,305.00,73474.5000,66795.0000,166093.11495000,10/29/1977 @ 12:00:00 AM
3474,"The Terrifying, Deathspike",The Fortress of Gama,3.00,Falserainbow Lead,310.00,872.99,70.18,270626.9000,21755.8000,301154.18100000,10/29/1977 @ 12:00:00 AM
24199,"Goddess of Fate, Azah",The Dungeon of Merciless Woe,3.97,Unicorns' Fatal Magma Metal Of The Ocean,55.00,25.30,23.00,1391.5000,1265.0000,2761.96305000,10/29/1947 @ 12:00:00 AM
