OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
34439,"Tarot, Dawn",Mahyrst Keep,31.30,Unicorns' Fatal Magma Metal Of The Ocean,371.00,25.30,27.83,9386.3000,10324.9300,25880.84499000,04/30/2006 @ 12:00:00 AM
32108,"Selik, God of Death",Gifeld Castle,33.01,Pearl Mirrorice Steel Of Changelings,141.00,365.42,365.42,51524.2200,51524.2200,137064.73004400,04/30/2006 @ 12:00:00 AM
31019,"Lance, Knightseraph",Mahyrst Keep,31.30,Foulopal Copper Of The Skies,250.00,221.83,221.83,55457.5000,55457.5000,145631.39500000,04/30/2006 @ 12:00:00 AM
9376,"Zeal, Bladewitch",The Tower of Aces the Accursed,-3.34,Unknowable Mindsilver,261.00,174.90,174.90,45648.9000,45648.9000,88248.45348000,04/30/2006 @ 12:00:00 AM
9513,"Evilfear, The Horrorific",The Lost Crypts of Sorrows,2.20,Angels' Adamant,354.00,51.48,46.80,18223.9200,16567.2000,35556.52464000,04/30/2006 @ 12:00:00 AM
20664,"Seraphim, Tsunami",Gena's Hold,5.85,Unknowable Mindsilver,295.00,174.90,174.90,51595.5000,51595.5000,109227.67350000,04/30/2006 @ 12:00:00 AM
18978,"Song, Runetomb",Weke Tower,47.19,Foul Ice Bronze Of Life,202.00,292.82,266.20,59149.6400,53772.4000,166209.95067600,04/30/2006 @ 12:00:00 AM
28516,"Lord, Mystery",The Fortress of Akkun the Grim,27.03,Undeads' Mind Orichalcum Of The Twilight,191.00,1169.00,364.69,223279.0000,69655.7900,372115.06373700,04/30/2006 @ 12:00:00 AM
26066,"Seraph, Jester",The Black Barrow of Bery,23.96,Tin Of The Tundra,362.00,4121.00,397.25,1491802.0000,143804.5000,2027497.81740000,04/30/2006 @ 12:00:00 AM
6848,"Lightning, Brand",The Lost Sanctum of Woe,43.20,Glittering Orichalcum,12.00,2056.00,330.00,24672.0000,3960.0000,41001.02400000,04/30/2006 @ 12:00:00 AM
16839,"Gravebone, The Unspeakable",The Scoundrel and Flask,45.25,Plague Tin,156.00,465.25,422.95,72579.0000,65980.2000,201257.23800000,04/30/2006 @ 12:00:00 AM
15741,"Deathspike, The Terrifying",The Dungeon of Merciless Woe,3.61,Shadowhell Mithril,214.00,462.21,420.19,98912.9400,89920.6600,195650.49296000,04/30/2006 @ 12:00:00 AM
4578,"Evilfear, The Horrorific",Shainan's Hold,43.67,Sphinxes' Unknown Poisongold Of The Future,154.00,3971.47,14.30,611606.3800,2202.2000,881858.78688600,04/30/2006 @ 12:00:00 AM
24002,"Scarechain, The Unspeakable",The Broken Arrow,17.60,Djinni's Mind Fogiron,320.00,57.23,57.23,18313.6000,18313.6000,43073.58720000,04/30/2006 @ 12:00:00 AM
13319,"Sunrise, Godwarlock",Kada's Deep,8.42,Starsmoke Bronze Of Life,188.00,-438.00,420.81,-82344.0000,79112.2800,-3503.83082400,04/30/2016 @ 12:00:00 AM
3624,"Slayer, Claw",The Forsaken Sepulcher of Sorrows,28.51,Timeiron,171.00,3255.00,-14.77,556605.0000,-2525.6700,712047.34698300,04/30/2006 @ 12:00:00 AM
