Order Number,first_name,last_name,State,Area,Material,Tax,CPSF,LCPSF,MaterialCost,LaborCost,TotalCost
37282,Biddie,Westcar,AZ,634,Tile,5.155,1.75,2.1,1109.5,1331.4,2566.728395
27588,Briney,Sherrin,TN,332,Wood,6.1625,5.15,4.75,1709.8,1577,3489.34905
57220,Hurleigh,Aylott,TN,897,Laminate,5.4537,3.5,4.15,3139.5,3722.55,7236.28562085
16375,Ottilie,Hazeman,MN,582,Carpet,5.3761,2.25,2.1,1309.5,1222.2,2667.8067237
44337,Fowler,Roback,DC,348,Laminate,5.4102,3.5,4.15,1218,1444.2,2806.2303444
80395,Dodi,Renon,CA,663,Laminate,6.3492,3.5,4.15,2320.5,2751.45,5393.978249400001063492
62364,Gifford,Church,PA,291,Carpet,5.2985,2.25,2.1,654.75,611.1,1332.92106225
62052,Thayne,Baert,WA,680,Carpet,5.4208,2.25,2.1,1530,1428,3118.347264
48051,Marga,Suttill,MA,455,Wood,5.3344,5.15,4.75,2343.25,2161.25,4744.788048
39568,Janenna,Ashmore,CA,224,Wood,6.6833,5.15,4.75,1153.6,1064,2365.8088608
16826,Estevan,Carbert,MN,924,Wood,6.0626,5.15,4.75,4758.6,4389,9702.1823976
28633,Tome,MacNally,NY,343,Tile,5.8712,1.75,2.1,600.25,720.3,1398.0821316
69743,Esra,Hurtic,TX,337,Wood,5.6404,5.15,4.75,1735.55,1600.75,3524.4806652
55041,Giselle,Zimmer,DC,355,Laminate,6.4591,3.5,4.15,1242.5,1473.25,2891.16300825
65118,Janith,Dunniom,OH,634,Laminate,6.9293,3.5,4.15,2219,2631.1,5186.1779793
43406,Jourdan,Koopman,CA,439,Laminate,6.0598,3.5,4.15,1536.5,1821.85,3561.8592933
20876,Eran,Seres,SC,362,Tile,5.2862,1.75,2.1,633.5,760.2,1467.3737694
45773,Erhart,Orange,MN,683,Tile,6.9587,1.75,2.1,1195.25,1434.3,2812.53249585
75577,Kissee,Plante,TX,887,Wood,6.4213,5.15,4.75,4568.05,4213.25,9345.173616899998935787
56405,Daffi,Bevis,TX,616,Laminate,6.4549,3.5,4.15,2156,2556.4,5016.5807076
55611,Em,Castelijn,CA,878,Wood,5.1375,5.15,4.75,4521.7,4170.5,9138.761775000001051375
32606,Dorey,Emeney,DC,501,Wood,6.7374,5.15,4.75,2580.15,2379.75,5294.0683026
44592,Marietta,Cecchi,FL,716,Wood,6.2971,5.15,4.75,3687.4,3401,7534.7636364
89012,Micaela,Worsley,OH,693,Laminate,6.8427,3.5,4.15,2425.5,2875.95,5664.212319150001068427
42650,Philbert,Shillaber,TN,560,Tile,6.9121,1.75,2.1,980,1176,2305.024876
82695,Guilbert,Warin,TX,149,Tile,5.8514,1.75,2.1,260.75,312.9,607.2165561000001058514
17263,Sher,Radage,CA,126,Tile,6.8596,1.75,2.1,220.5,264.6,518.3759196
78203,Deonne,Bruna,CA,439,Wood,6.5545,5.15,4.75,2260.85,2085.25,4630.9651245
28670,Agnesse,Haig,NC,746,Tile,6.4596,1.75,2.1,1305.5,1566.6,3057.6261716
63093,Orren,Dubber,NC,584,Laminate,5.4713,3.5,4.15,2044,2423.6,4712.0357988
73037,Drew,Loveless,VA,580,Carpet,6.9433,2.25,2.1,1305,1218,2698.179459
38249,Cedric,Rate,LA,774,Wood,5.3103,5.15,4.75,3986.1,3676.5,8069.5070478
59847,Ansell,Brunet,VA,102,Tile,5.1718,1.75,2.1,178.5,214.2,413.0096586
21565,Patsy,Mardee,UT,472,Tile,6.0704,1.75,2.1,826,991.2,1927.5113088
42766,Caryn,Jenney,AZ,961,Tile,5.5254,1.75,2.1,1681.75,2018.1,3904.2815119
34698,Bendite,Kelland,NC,500,Carpet,5.3929,2.25,2.1,1125,1050,2292.295575
85653,Bayard,Schutt,CA,595,Wood,6.9021,5.15,4.75,3064.25,2826.25,6297.0682005
